product_url,item_id,name,brand,product_type,volume,shade_name,shade_value,price_actual,price_regular,currency,in_stock
https://goldapple.ru/11292100023-snail-matrix-bb-cream-spf-50-pa,11292100023,Snail Matrix BB Cream SPF 50+ PA+++,SCINIC,BB-крем для лица,40 мл,,,737,1272,RUB,True
https://goldapple.ru/14024300002-skin-detox-fluid,14024300002_0,Skin Detox Fluid,Clarins,BB крем SPF 25,45 мл,Оттенок,01 Light,3430,4900,RUB,True
https://goldapple.ru/14024300002-skin-detox-fluid,14024300002_1,Skin Detox Fluid,Clarins,BB крем SPF 25,45 мл,Оттенок,00 Fair,3430,4900,RUB,True
https://goldapple.ru/14024300002-skin-detox-fluid,14024300002_2,Skin Detox Fluid,Clarins,BB крем SPF 25,45 мл,Оттенок,02 Medium,3430,4900,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_0,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,108.3N,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_1,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,100.5W,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_2,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,101W,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_3,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,103N,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_4,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,105N,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_5,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,106N,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_6,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,107C,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_7,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,108W,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_8,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,108.5W,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_9,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,109C,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_10,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,110N,4200,6000,RUB,True
https://goldapple.ru/14036200014-skin-illusion,14036200014_11,SKIN ILLUSION,Clarins,Увлажняющий тональный крем SPF 15,30 мл,,111N,4200,6000,RUB,True
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_0,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,02 Light,9110,9590,RUB,True
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_1,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,04 Light,9110,9590,RUB,True
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_2,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,09 Medium,9110,9590,RUB,False
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_3,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,10 Medium,5990,5990,RUB,False
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_4,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,11 Medium,9590,9590,RUB,False
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_5,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,01 Light,9110,9590,RUB,True
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_6,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,03 Light,9110,9590,RUB,True
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_7,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,05 Light,9110,9590,RUB,True
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_8,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,06 Medium,9110,9590,RUB,False
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_9,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,07 Medium,9110,9590,RUB,False
https://goldapple.ru/14091300008-the-etherealist-skin-illuminating-foundation,14091300008_10,The etherealist skin illuminating foundation,Kevyn Aucoin,Тональная основа для лица,28 мл,Оттенок,08 Medium,9110,9590,RUB,False
